primary_fabric,secondary_fabric,cmt,embellishments,trims,compliance,quantity,rejection_factor,markup_pct,base_cost,material_ratio,labor_intensity,embellishment_complexity,order_scale,formula_per_piece,actual_per_piece,formula_total,actual_total
340.07,10.86,87.61,56.26,33.94,13.29,7352,1.032,9.0,542.03,0.6474,0.1616,0.1038,8.9029,609.72,651.25,4482651.93,4787963.39
192.18,81.42,95.96,75.71,29.41,3.67,3401,1.06,14.7,478.35,0.572,0.2006,0.1583,8.1321,581.59,584.87,1977979.08,1989159.21
118.44,75.02,86.2,26.45,6.64,33.82,5702,1.041,38.9,346.57,0.5582,0.2487,0.0763,8.6487,501.12,519.83,2857400.75,2964062.14
320.43,103.92,27.9,18.51,18.64,25.73,3122,1.034,30.9,515.13,0.8238,0.0542,0.0359,8.0465,697.23,739.29,2176756.89,2308057.65
232.76,82.12,132.74,30.79,25.62,23.12,7595,1.096,42.7,527.15,0.5973,0.2518,0.0584,8.9354,824.46,817.69,6261761.42,6210358.86
250.96,94.61,164.54,65.78,24.26,36.62,3091,1.065,29.5,636.77,0.5427,0.2584,0.1033,8.0366,878.22,899.62,2714569.57,2780712.52
199.11,24.02,49.98,34.01,41.24,26.07,213,1.104,32.4,374.43,0.5959,0.1335,0.0908,5.366,547.3,566.67,116575.5,120700.18
59.74,31.51,162.87,58.35,57.94,21.0,7763,1.138,9.9,391.41,0.2331,0.4161,0.1491,8.9573,489.52,480.62,3800156.28,3731049.33
242.08,67.74,172.5,60.94,26.4,11.44,1274,1.022,44.3,581.1,0.5332,0.2969,0.1049,7.1507,856.97,904.23,1091786.02,1151987.57
76.56,63.67,134.34,17.73,59.63,14.25,1763,1.13,37.7,366.18,0.383,0.3669,0.0484,7.4753,569.78,582.75,1004521.68,1027385.62
154.8,7.91,155.71,78.01,25.8,34.86,8952,1.061,23.2,457.09,0.356,0.3407,0.1707,9.0997,597.49,624.19,5348695.64,5587769.13
118.56,31.66,36.03,15.23,25.19,3.69,2901,1.003,31.7,230.36,0.6521,0.1564,0.0661,7.9732,304.29,323.8,882757.68,939343.32
166.7,3.35,141.7,63.19,37.63,34.21,4203,1.049,31.9,446.78,0.3806,0.3172,0.1414,8.3438,618.18,640.55,2598204.9,2692241.65
313.86,13.6,78.66,4.89,16.35,33.27,4580,1.073,36.8,460.63,0.7109,0.1708,0.0106,8.4297,676.14,716.93,3096731.25,3283526.36
147.21,82.8,77.17,30.37,58.81,13.35,9974,1.035,9.3,409.71,0.5614,0.1884,0.0741,9.2078,463.49,474.19,4622814.21,4729608.8
253.18,42.97,109.27,34.73,36.97,13.7,8095,1.112,19.4,490.82,0.6034,0.2226,0.0708,8.9991,651.68,665.17,5275312.82,5384585.43
322.4,68.59,151.85,44.53,8.72,12.36,3942,1.056,36.6,608.45,0.6426,0.2496,0.0732,8.2797,877.69,892.3,3459840.94,3517436.6
37.08,107.55,126.6,3.2,13.05,17.98,6679,1.138,26.5,305.46,0.4735,0.4145,0.0105,8.8069,439.73,438.49,2936963.7,2928646.65
74.79,89.03,63.74,74.84,20.68,19.91,7648,1.036,31.8,342.99,0.4776,0.1858,0.2182,8.9423,468.34,468.1,3581826.15,3580052.39
41.84,118.04,130.0,60.66,49.67,28.74,643,1.05,41.3,428.95,0.3727,0.3031,0.1414,6.4677,636.41,677.38,409212.7,435553.29
320.0,72.1,123.51,52.12,19.13,12.06,3024,1.135,32.7,598.92,0.6547,0.2062,0.087,8.0147,902.06,907.39,2727830.54,2743960.89
305.55,34.82,80.64,44.17,35.46,15.68,208,1.141,38.5,516.32,0.6592,0.1562,0.0855,5.3423,815.93,868.72,169714.01,180694.46
251.86,43.61,155.73,27.45,33.18,25.62,1522,1.061,12.9,537.45,0.5498,0.2898,0.0511,7.3284,643.79,692.0,979855.52,1053216.97
182.06,117.12,162.2,14.86,59.26,5.75,9010,1.03,6.6,541.25,0.5528,0.2997,0.0275,9.1062,594.28,610.2,5354477.89,5497858.87
307.15,29.05,105.93,47.29,8.53,30.63,6558,1.055,25.1,528.58,0.636,0.2004,0.0895,8.7886,697.62,679.45,4575008.53,4455855.67
203.92,118.14,25.94,52.45,11.89,35.9,5645,1.102,8.1,448.24,0.7185,0.0579,0.117,8.6387,533.97,568.42,3014267.87,3208750.72
20.18,96.89,76.15,26.96,5.44,14.28,509,1.013,34.5,239.9,0.488,0.3174,0.1124,6.2344,326.86,340.91,166371.82,173522.17
69.03,13.81,113.67,29.71,49.43,27.66,737,1.149,27.7,303.31,0.2731,0.3748,0.098,6.6039,445.04,481.15,327993.43,354611.08
89.09,75.72,36.42,58.99,18.03,5.9,6118,1.064,36.3,284.15,0.58,0.1282,0.2076,8.7192,412.08,421.51,2521126.38,2578789.05
248.65,6.28,131.03,60.27,30.02,2.03,1400,1.125,29.6,478.28,0.533,0.274,0.126,7.2449,697.33,736.39,976265.14,1030950.7
143.3,79.11,102.14,35.45,30.15,17.92,6668,1.13,42.2,408.07,0.545,0.2503,0.0869,8.8052,655.71,665.2,4372283.35,4435566.67
330.76,54.4,70.86,30.03,29.89,15.89,9658,1.082,8.3,531.83,0.7242,0.1332,0.0565,9.1756,623.2,638.83,6018880.91,6169817.71
337.83,56.04,25.51,23.36,46.08,15.28,4901,1.118,20.7,504.1,0.7813,0.0506,0.0463,8.4974,680.25,689.98,3333883.91,3381608.02
245.98,48.77,88.74,1.23,25.09,16.99,9795,1.147,19.3,426.8,0.6906,0.2079,0.0029,9.1897,584.02,604.54,5720483.18,5921451.82
344.22,96.02,38.74,58.77,32.32,27.4,7955,1.108,30.4,597.47,0.7368,0.0648,0.0984,8.9817,863.24,895.1,6867104.23,7120494.95
70.72,16.36,81.89,6.19,6.68,8.95,5030,1.091,25.6,190.79,0.4564,0.4292,0.0324,8.5234,261.44,268.75,1315037.03,1351787.78
62.4,67.53,54.44,1.03,20.45,27.82,3273,1.114,14.5,233.67,0.556,0.233,0.0044,8.0938,298.05,310.97,975527.78,1017788.75
302.94,14.96,53.83,45.25,26.48,17.15,919,1.083,36.3,460.61,0.6902,0.1169,0.0982,6.8244,679.92,712.64,624846.28,654916.22
38.03,35.79,27.21,59.54,52.46,20.11,5356,1.078,6.5,233.14,0.3166,0.1167,0.2554,8.5862,267.66,276.18,1433592.53,1479200.95
83.73,25.35,105.51,21.3,10.21,21.68,7585,1.011,42.3,267.78,0.4073,0.394,0.0795,8.9341,385.24,382.03,2922064.37,2897718.97
116.25,119.1,52.32,22.08,20.58,33.81,1732,1.061,40.7,364.14,0.6463,0.1437,0.0606,7.4576,543.6,568.01,941511.78,983789.2
200.08,83.63,139.67,33.9,47.81,21.17,9933,1.034,24.5,526.26,0.5391,0.2654,0.0644,9.2037,677.47,703.08,6729312.35,6983663.28
285.1,2.74,161.34,45.4,32.95,24.56,6182,1.009,18.4,552.09,0.5214,0.2922,0.0822,8.7296,659.56,667.84,4077385.28,4128570.57
223.13,59.96,164.53,17.8,44.42,19.05,8356,1.081,36.7,528.89,0.5353,0.3111,0.0337,9.0309,781.56,807.98,6530673.86,6751520.59
55.13,1.53,77.64,55.86,11.84,2.22,7336,1.021,7.7,204.22,0.2774,0.3802,0.2735,8.9007,224.56,226.91,1647399.92,1664591.46
297.7,1.29,37.84,70.04,25.63,14.44,1920,1.119,41.0,446.94,0.669,0.0847,0.1567,7.5606,705.18,735.31,1353940.73,1411787.63
151.88,46.83,113.89,51.14,21.41,38.24,3380,1.018,9.5,423.39,0.4693,0.269,0.1208,8.1259,471.96,494.36,1595214.89,1670924.56
213.4,75.23,143.73,57.73,33.69,34.99,3417,1.025,36.8,558.77,0.5165,0.2572,0.1033,8.1368,783.51,797.44,2677244.42,2724859.83
204.53,47.89,40.81,45.48,37.25,12.92,9100,1.052,16.4,388.88,0.6491,0.1049,0.117,9.1161,476.19,488.13,4333369.48,4441956.98
240.86,1.04,24.9,5.27,25.15,33.9,3957,1.009,43.0,331.12,0.7306,0.0752,0.0159,8.2835,477.76,511.51,1890508.64,2024048.79
156.24,89.62,36.27,16.98,50.78,5.57,7260,1.139,22.6,355.46,0.6917,0.102,0.0478,8.8903,496.37,483.87,3603641.27,3512881.78
198.19,3.08,146.59,76.54,26.96,10.6,7821,1.028,35.1,461.96,0.4357,0.3173,0.1657,8.9647,641.58,669.95,5017820.51,5239695.09
220.79,22.32,89.16,3.8,21.99,16.83,8017,1.059,20.5,374.89,0.6485,0.2378,0.0101,8.9894,478.4,472.35,3835294.76,3786842.84
292.13,17.09,148.66,57.47,32.88,14.09,5583,1.091,26.4,562.32,0.5499,0.2644,0.1022,8.6277,775.45,776.51,4329352.85,4335251.55
247.1,115.36,34.32,68.0,30.9,3.79,7047,1.085,26.2,499.47,0.7257,0.0687,0.1361,8.8605,683.91,696.25,4819508.74,4906487.99
132.33,113.28,170.55,68.06,51.55,16.34,9638,1.095,22.5,552.11,0.4449,0.3089,0.1233,9.1736,740.59,743.23,7137773.18,7163278.49
129.64,74.58,36.13,12.3,24.38,32.01,6018,1.097,33.7,309.04,0.6608,0.1169,0.0398,8.7027,453.27,451.34,2727752.19,2716171.9
343.74,61.66,142.22,76.26,17.61,7.08,4404,1.017,9.5,648.57,0.6251,0.2193,0.1176,8.3905,722.26,758.22,3180821.06,3339206.68
119.87,57.84,175.35,5.7,55.78,13.47,4674,1.125,19.2,428.01,0.4152,0.4097,0.0133,8.45,573.96,611.04,2682695.63,2856022.9
44.78,90.25,144.16,18.49,49.35,26.28,9467,1.014,11.2,373.31,0.3617,0.3862,0.0495,9.1557,420.93,408.27,3984967.13,3865060.13
263.72,64.63,25.44,31.77,46.18,36.35,8952,1.075,27.1,468.09,0.7015,0.0543,0.0679,9.0997,639.56,635.18,5725368.6,5686113.65
238.24,10.41,157.62,52.96,43.77,38.6,4438,1.028,24.2,541.6,0.4591,0.291,0.0978,8.3982,691.5,729.46,3068885.35,3237336.63
254.83,118.62,100.04,52.84,15.36,4.88,7339,1.031,43.9,546.57,0.6833,0.183,0.0967,8.9011,810.9,832.7,5951167.0,6111213.9
236.29,9.0,118.42,14.4,20.09,21.04,120,1.029,42.0,419.24,0.5851,0.2825,0.0343,4.7958,612.59,634.54,73510.21,76145.14
64.96,54.52,169.16,78.9,58.98,14.55,7045,1.065,16.1,441.07,0.2709,0.3835,0.1789,8.8602,545.37,540.85,3842114.87,3810302.29
157.89,105.53,161.51,24.76,23.35,37.69,8402,1.106,33.5,510.73,0.5158,0.3162,0.0485,9.0363,754.1,740.09,6335931.0,6218235.95
200.61,34.9,59.29,8.07,9.39,2.54,4253,1.111,38.7,314.8,0.7481,0.1883,0.0256,8.3556,485.09,499.64,2063101.65,2124980.42
22.08,1.11,53.63,37.02,10.42,19.71,6678,1.088,43.9,143.97,0.1611,0.3725,0.2571,8.8067,225.4,238.0,1505248.17,1589394.79
198.97,33.93,168.39,25.22,44.59,18.88,8639,1.054,18.1,489.98,0.4753,0.3437,0.0515,9.0642,609.91,628.4,5269050.2,5428763.55
154.19,73.63,63.3,53.84,49.36,17.4,3840,1.13,6.3,411.72,0.5533,0.1537,0.1308,8.2535,494.55,507.76,1899087.16,1949807.69
321.96,116.65,20.92,64.05,16.81,29.51,6508,1.081,26.5,569.9,0.7696,0.0367,0.1124,8.7809,779.32,785.96,5071803.52,5115042.94
130.84,67.75,174.67,22.14,10.0,29.21,2504,1.121,24.0,434.61,0.4569,0.4019,0.0509,7.826,604.13,633.36,1512729.71,1585923.77
41.36,10.2,112.2,27.29,59.09,7.09,5361,1.086,40.3,257.23,0.2004,0.4362,0.1061,8.5871,391.93,396.74,2101139.66,2126909.87
160.33,118.44,59.25,10.89,17.68,15.53,7757,1.105,38.8,382.12,0.7295,0.1551,0.0285,8.9565,586.07,574.44,4546166.16,4455911.29
219.27,2.32,65.17,1.79,42.31,37.48,5037,1.003,32.4,368.34,0.6016,0.1769,0.0049,8.5248,489.15,497.18,2463824.41,2504309.23
243.28,7.18,169.59,15.59,55.56,20.45,1579,1.106,35.3,511.65,0.4895,0.3315,0.0305,7.3652,765.64,830.92,1208949.14,1312024.4
285.97,118.56,25.81,26.41,20.85,29.0,5677,1.085,36.6,506.6,0.7985,0.0509,0.0521,8.6444,750.84,737.89,4262501.23,4188981.18
336.71,109.56,159.93,8.0,33.87,37.86,9973,1.041,28.8,685.93,0.6506,0.2332,0.0117,9.2077,919.7,905.28,9172172.4,9028360.6
94.37,118.62,110.66,13.82,57.31,24.7,6419,1.03,44.7,419.48,0.5077,0.2638,0.0329,8.7672,625.2,652.81,4013140.74,4190385.1
147.77,57.07,29.61,14.58,40.39,39.8,519,1.047,8.8,329.22,0.6222,0.0899,0.0443,6.2538,375.03,412.38,194638.68,214022.92
32.65,22.92,148.72,29.14,52.18,24.23,1083,1.107,13.7,309.84,0.1794,0.48,0.094,6.9884,389.98,430.15,422351.49,465853.89
73.6,73.96,131.61,32.04,53.11,33.51,3142,1.062,44.2,397.83,0.3709,0.3308,0.0805,8.0529,609.24,635.05,1914227.22,1995333.32
341.51,61.45,27.3,14.06,14.94,29.53,9379,1.01,25.6,488.79,0.8244,0.0559,0.0288,9.1463,620.06,629.66,5815537.51,5905567.87
304.0,29.73,91.7,14.49,48.97,2.44,4385,1.128,39.3,491.33,0.6792,0.1866,0.0295,8.3862,772.03,800.75,3385346.26,3511308.74
31.8,116.48,169.9,21.08,24.15,30.77,5403,1.042,39.3,394.18,0.3762,0.431,0.0535,8.5949,572.15,576.93,3091351.49,3117170.07
297.87,64.66,123.26,59.28,29.28,5.18,3431,1.076,40.5,579.53,0.6256,0.2127,0.1023,8.1409,876.12,896.58,3005974.11,3076182.03
167.71,19.74,93.4,14.06,8.21,15.77,631,1.13,27.6,318.89,0.5878,0.2929,0.0441,6.4489,459.8,466.47,290134.5,294340.01
239.35,48.58,33.27,4.87,24.81,38.12,3752,1.102,14.0,389.0,0.7402,0.0855,0.0125,8.2303,488.69,493.87,1833575.84,1852983.09
316.93,24.63,96.11,70.7,53.7,18.61,6043,1.096,18.5,580.68,0.5882,0.1655,0.1218,8.7068,754.16,784.01,4557412.79,4737795.69
312.95,117.25,75.17,49.06,32.83,13.4,9578,1.131,35.7,600.66,0.7162,0.1251,0.0817,9.1673,921.87,904.25,8829700.99,8660927.03
256.96,102.61,135.91,76.76,50.58,14.58,1786,1.144,13.0,637.4,0.5641,0.2132,0.1204,7.4883,823.98,874.65,1471627.79,1562123.39
107.4,93.76,44.99,79.53,51.14,37.35,7705,1.008,15.7,414.17,0.4857,0.1086,0.192,8.9498,483.03,473.89,3721732.65,3651334.04
149.83,65.49,76.77,5.06,33.55,7.87,3138,1.008,29.5,338.57,0.636,0.2267,0.0149,8.0517,441.96,468.65,1386857.1,1470639.36
263.42,32.61,174.35,22.14,38.4,26.75,506,1.079,14.9,557.67,0.5308,0.3126,0.0397,6.2285,691.38,751.72,349839.85,380368.86
20.53,9.35,32.49,68.42,51.85,4.04,702,1.056,10.9,186.68,0.1601,0.174,0.3665,6.5554,218.62,247.95,153472.43,174058.8
62.81,75.34,86.54,29.81,42.91,35.89,693,1.071,31.6,333.3,0.4145,0.2596,0.0894,6.5425,469.77,507.24,325547.16,351515.3
72.49,43.29,61.64,56.58,39.36,11.04,443,1.066,41.7,284.4,0.4071,0.2167,0.1989,6.0958,429.59,453.36,190309.46,200837.93
68.05,27.75,143.33,78.64,18.86,34.6,3794,1.007,13.2,371.23,0.2581,0.3861,0.2118,8.2414,423.17,437.48,1605522.1,1659798.75
332.47,34.2,110.93,73.44,20.68,29.68,9710,1.132,25.3,601.4,0.6097,0.1845,0.1221,9.181,853.02,846.96,8282856.77,8224028.83
29.67,24.16,104.29,62.41,6.67,15.1,9280,1.031,18.3,242.3,0.2222,0.4304,0.2576,9.1357,295.53,305.25,2742488.41,2832751.57
