total_area,pattern_area,num_items,utilization_ratio,aspect_ratio_fabric,aspect_ratio_pattern,density,fabric_length,fabric_width,pattern_length,pattern_width,waste_percentage
96.8107,1.9712,41,0.8348,54.7293,1.2031,0.4235,72.79,1.33,1.54,1.28,15.06
84.4192,2.64,21,0.6567,13.7258,1.0312,0.2488,34.04,2.48,1.65,1.6,35.65
267.3867,0.294,440,0.4838,108.4777,1.6667,1.6456,170.31,1.57,0.7,0.42,52.68
146.329,0.3116,294,0.6261,34.8195,0.5395,2.0092,71.38,2.05,0.41,0.76,37.32
339.7055,1.8288,45,0.2423,80.8341,1.1339,0.1325,165.71,2.05,1.44,1.27,75.28
9.2512,0.936,2,0.2024,6.6441,2.6,0.2162,7.84,1.18,1.56,0.6,77.97
233.5392,1.2,137,0.704,126.2647,0.768,0.5866,171.72,1.36,0.96,1.25,30.42
136.7567,0.1472,588,0.6329,119.4486,2.7826,4.2996,127.81,1.07,0.64,0.23,35.49
184.5072,0.1764,310,0.2964,158.1852,4.0,1.6802,170.84,1.08,0.84,0.21,69.99
348.7441,3.116,41,0.3663,66.5022,1.3487,0.1176,152.29,2.29,2.05,1.52,62.23
225.9861,0.798,129,0.4555,47.1187,2.2167,0.5708,103.19,2.19,1.33,0.6,53.97
178.3449,0.738,81,0.3352,39.3099,0.2744,0.4542,83.73,2.13,0.45,1.64,66.21
139.2328,0.2832,228,0.4638,53.7143,1.2292,1.6375,86.48,1.61,0.59,0.48,54.93
10.0776,0.4015,11,0.4382,9.3173,0.7534,1.0915,9.69,1.04,0.55,0.73,58.0
160.782,0.4896,104,0.3167,99.685,0.9444,0.6468,126.6,1.27,0.68,0.72,67.87
77.7,1.63,30,0.6293,70.4762,1.63,0.3861,74.0,1.05,1.63,1.0,35.46
341.825,1.5872,92,0.4272,58.3678,1.0323,0.2691,141.25,2.42,1.28,1.24,55.96
461.804,0.525,562,0.6389,58.9036,11.9048,1.217,164.93,2.8,2.5,0.21,34.31
173.5415,1.5142,104,0.9074,89.8201,0.8433,0.5993,124.85,1.39,1.13,1.3399999999999999,9.35
53.7516,2.1115,20,0.7857,46.0833,1.9903,0.3721,49.77,1.08,2.05,1.03,21.55
510.57,2.7566,102,0.5507,70.037,0.8603,0.1998,189.1,2.7,1.54,1.79,43.79
48.87,0.9741,43,0.8571,6.7037,3.7451,0.8799,18.1,2.7,1.91,0.51,15.35
394.17,1.1024,141,0.3943,43.7967,4.0769,0.3577,131.39,3.0,2.12,0.52,60.38
148.889,0.7956,131,0.7,52.1302,3.0588,0.8799,88.1,1.69,1.56,0.51,31.65
58.1525,0.6412,30,0.3308,18.9886,8.1786,0.5159,33.23,1.75,2.29,0.28,65.66
298.8276,2.95,22,0.2172,86.3763,2.1186,0.0736,160.66,1.86,2.5,1.18,78.73
103.12,0.7442,58,0.4186,25.78,2.0,0.5625,51.56,2.0,1.22,0.61,59.47
314.5536,1.428,191,0.8671,37.9236,0.4941,0.6072,109.22,2.88,0.84,1.7,13.24
149.112,0.716,102,0.4898,25.8875,0.2235,0.684,62.13,2.4,0.4,1.79,50.07
39.5744,0.7708,44,0.857,14.3614,4.5854,1.1118,23.84,1.66,1.88,0.41,14.21
194.1756,0.7885,86,0.3492,45.7573,1.1446,0.4429,94.26,2.06,0.95,0.83,66.17
99.0776,0.8024,81,0.656,13.4908,6.9412,0.8175,36.56,2.71,2.36,0.34,33.5
231.686,0.9856,105,0.4467,137.0923,3.1429,0.4532,178.22,1.3,1.76,0.56,54.83
205.62,2.9988,52,0.7584,60.7337,1.281,0.2529,111.75,1.84,1.96,1.53,24.58
94.8408,0.2834,151,0.4512,32.0581,4.1923,1.5921,55.14,1.72,1.09,0.26,55.2
74.8986,2.0895,14,0.3906,52.8908,1.8952,0.1869,62.94,1.19,1.99,1.05,62.13
306.176,0.5445,278,0.4944,45.2923,0.2,0.908,117.76,2.6,0.33,1.65,51.36
70.776,0.8229,43,0.5,49.15,5.4103,0.6076,58.98,1.2,2.11,0.39,49.46
74.613,1.8176,23,0.5603,42.1805,1.1094,0.3083,56.1,1.33,1.42,1.28,43.28
34.2664,1.1259,11,0.3614,6.3664,0.5827,0.321,14.77,2.32,0.81,1.39,62.74
339.9208,1.1455,90,0.3033,75.6321,1.8354,0.2648,160.34,2.12,1.45,0.79,69.56
113.0478,0.6592,65,0.379,23.5708,0.6214,0.575,51.62,2.19,0.64,1.03,61.19
137.5232,0.3685,96,0.2572,20.9844,0.8209,0.6981,53.72,2.56,0.55,0.67,73.49
247.5912,0.5075,206,0.4222,122.7887,8.12,0.832,174.36,1.42,2.03,0.25,57.93
88.9876,1.968,26,0.575,74.8991,3.075,0.2922,81.64,1.09,2.46,0.8,40.72
95.3724,1.2208,57,0.7296,73.386,1.0275,0.5977,83.66,1.14,1.12,1.0899999999999999,25.91
128.5294,0.6996,133,0.7239,16.2776,0.4015,1.0348,45.74,2.81,0.53,1.32,26.27
61.287,1.275,30,0.6241,25.5097,0.5667,0.4895,39.54,1.55,0.85,1.5,36.84
191.856,0.3429,330,0.5898,174.019,4.7037,1.72,182.72,1.05,1.27,0.27,39.64
53.218,2.8084,18,0.9499,9.5551,2.0169,0.3382,22.55,2.36,2.38,1.18,6.95
493.024,0.4183,890,0.7551,62.8857,0.5281,1.8052,176.08,2.8,0.47,0.89,23.7
419.823,1.5853,86,0.3247,87.5342,2.3012,0.2048,191.7,2.19,1.91,0.83,66.95
218.0488,0.2304,320,0.3381,117.8897,4.0,1.4676,160.33,1.36,0.96,0.24,66.33
385.5904,1.7442,129,0.5835,89.125,1.3421,0.3346,185.38,2.08,1.53,1.14,41.33
44.0,0.4864,51,0.5638,28.16,4.75,1.1591,35.2,1.25,1.52,0.32,44.08
105.7586,1.7125,39,0.6315,13.7834,1.096,0.3688,38.18,2.77,1.37,1.25,37.85
291.89,1.5618,143,0.7651,34.9481,0.8321,0.4899,101.0,2.89,1.14,1.37,21.87
143.616,1.419,46,0.4545,41.0695,0.8527,0.3203,76.8,1.87,1.1,1.29,54.21
103.3165,1.29,51,0.6368,17.2122,2.2933,0.4936,42.17,2.45,1.72,0.75,35.39
405.5064,2.0088,63,0.3121,67.0081,0.7654,0.1554,164.84,2.46,1.24,1.62,67.36
85.54,1.7064,43,0.8578,25.8242,0.6835,0.5027,47.0,1.82,1.08,1.58,13.29
100.7338,0.3526,165,0.5776,25.4372,0.4767,1.638,50.62,1.99,0.41,0.86,40.48
26.429,0.4719,23,0.4107,7.3211,4.3333,0.8703,13.91,1.9,1.43,0.33,58.24
9.9674,2.8314,1,0.2841,6.6967,2.0684,0.1003,8.17,1.22,2.42,1.17,71.81
366.1868,0.8732,201,0.4793,95.3214,0.3986,0.5489,186.83,1.96,0.59,1.48,53.07
268.0896,2.1375,39,0.311,72.724,1.368,0.1455,139.63,1.92,1.71,1.25,67.1
78.6285,0.429,54,0.2946,26.2717,8.8636,0.6868,45.45,1.73,1.95,0.22,70.89
236.985,0.3565,411,0.6183,77.3829,0.2696,1.7343,135.42,1.75,0.31,1.15,37.53
301.5705,0.6976,305,0.7055,50.2408,0.5872,1.0114,123.09,2.45,0.64,1.09,29.56
410.7672,1.6117,225,0.8828,88.0417,3.1972,0.5478,190.17,2.16,2.27,0.71,12.26
261.1969,0.2376,465,0.423,58.6682,2.1818,1.7803,123.79,2.11,0.72,0.33,57.83
408.4316,0.4033,312,0.3081,68.6025,2.9459,0.7639,167.39,2.44,1.09,0.37,69.96
426.675,3.5742,76,0.6366,68.268,1.3789,0.1781,170.67,2.5,2.22,1.61,35.56
165.7428,1.599,54,0.521,119.0339,2.6282,0.3258,140.46,1.18,2.05,0.78,48.89
21.42,0.3658,15,0.2562,7.5893,1.0508,0.7003,12.75,1.68,0.62,0.59,74.6
74.7708,0.5044,82,0.5532,30.7244,1.8654,1.0967,47.93,1.56,0.97,0.52,45.46
387.299,1.2805,76,0.2513,58.6381,3.0308,0.1962,150.7,2.57,1.97,0.65,73.23
308.1552,0.864,275,0.771,46.2946,2.963,0.8924,119.44,2.58,1.6,0.54,23.37
94.5714,2.7507,14,0.4072,29.8483,0.9191,0.148,53.13,1.78,1.59,1.73,61.1
147.1863,2.3436,32,0.5095,58.2201,1.5242,0.2174,92.57,1.59,1.89,1.24,48.52
455.3418,1.9344,96,0.4078,63.8727,2.2366,0.2108,170.54,2.67,2.08,0.93,60.37
216.8624,0.3784,509,0.8881,107.5493,2.0465,2.3471,152.72,1.42,0.88,0.43,9.58
199.578,3.248,31,0.5045,65.9195,1.5448,0.1553,114.7,1.74,2.24,1.45,49.75
174.3043,1.1515,124,0.8192,22.0747,5.2128,0.7114,62.03,2.81,2.45,0.47,19.19
201.502,2.1301,45,0.4757,58.8757,1.5042,0.2233,108.92,1.85,1.79,1.19,52.1
106.3468,1.1021,41,0.4249,60.1203,1.0388,0.3855,79.96,1.33,1.07,1.03,59.35
227.0608,3.0212,25,0.3326,62.2408,1.0964,0.1101,118.88,1.91,1.82,1.66,66.91
305.298,0.3478,530,0.6038,48.0754,0.6351,1.736,121.15,2.52,0.47,0.74,40.64
33.9471,0.892,18,0.473,3.8485,5.575,0.5302,11.43,2.97,2.23,0.4,50.82
221.0988,2.1904,38,0.3765,90.8526,1.0,0.1719,141.73,1.56,1.48,1.48,62.47
366.2832,1.272,171,0.5938,48.7883,1.9875,0.4669,133.68,2.74,1.59,0.8,40.11
552.3929,0.1638,3121,0.9255,64.3447,1.0769,5.65,188.53,2.93,0.42,0.39,8.13
507.4473,1.4857,92,0.2694,63.3604,0.4637,0.1813,179.31,2.83,0.83,1.79,72.15
358.492,1.8306,105,0.5362,99.3053,0.6975,0.2929,188.68,1.9,1.13,1.62,44.62
496.3698,0.1776,1799,0.6437,72.8659,0.7708,3.6243,190.18,2.61,0.37,0.48,36.51
263.2856,1.7542,94,0.6263,77.7663,1.8265,0.357,143.09,1.84,1.79,0.98,35.48
51.8201,0.1116,350,0.7538,45.2617,1.1613,6.7541,48.43,1.07,0.36,0.31,23.5
417.9475,1.679,75,0.3013,75.6809,3.1507,0.1794,177.85,2.35,2.3,0.73,69.97
200.4576,1.7655,66,0.5813,159.8036,1.5421,0.3292,178.98,1.12,1.65,1.07,42.8
318.2256,0.256,996,0.8012,38.6341,1.6,3.1299,110.88,2.87,0.64,0.4,19.98
333.0012,3.4946,83,0.871,80.8079,1.1676,0.2492,164.04,2.03,2.02,1.73,13.59
241.531,0.5016,232,0.4818,128.6861,0.2879,0.9605,176.3,1.37,0.38,1.32,53.27
136.3186,1.404,45,0.4635,23.2769,2.3077,0.3301,56.33,2.42,1.8,0.78,54.66
411.1239,1.232,116,0.3476,73.1941,4.0727,0.2822,173.47,2.37,2.24,0.55,64.94
296.856,1.953,42,0.2763,101.5205,1.7714,0.1415,173.6,1.71,1.86,1.05,70.93
106.8039,1.89,24,0.4247,29.8995,2.3333,0.2247,56.51,1.89,2.1,0.9,56.24
291.018,1.3818,109,0.5175,39.0476,0.695,0.3745,106.6,2.73,0.98,1.41,48.43
288.333,1.1456,88,0.3496,39.5519,2.7969,0.3052,106.79,2.7,1.79,0.64,64.25
373.8665,0.5762,223,0.3437,55.7336,0.3209,0.5965,144.35,2.59,0.43,1.34,65.39
54.2244,0.3813,99,0.6962,11.3059,2.2683,1.8257,24.76,2.19,0.93,0.41,29.17
17.1678,0.5664,22,0.7258,8.5141,1.6271,1.2815,12.09,1.42,0.96,0.59,28.04
128.9613,0.3944,184,0.5627,77.4961,0.2931,1.4268,99.97,1.29,0.34,1.16,43.93
211.794,1.2827,103,0.6238,121.553,0.7953,0.4863,160.45,1.32,1.01,1.27,38.67
228.375,0.5746,336,0.8454,45.1111,8.5,1.4713,101.5,2.25,2.21,0.26,14.29
115.8452,2.7183,24,0.5632,24.3761,1.7967,0.2072,53.14,2.18,2.21,1.23,44.71
165.6666,0.3999,225,0.5431,42.2576,4.1613,1.3581,83.67,1.98,1.29,0.31,43.93
107.8735,0.5643,114,0.5963,31.5189,1.7368,1.0568,58.31,1.85,0.99,0.57,41.26
455.5268,2.5806,135,0.7648,86.8646,1.3551,0.2964,198.92,2.29,1.87,1.38,24.04
235.3112,0.438,373,0.6943,46.0708,10.95,1.5851,104.12,2.26,2.19,0.2,29.65
148.8874,0.9102,134,0.8192,20.2731,6.6486,0.9,54.94,2.71,2.46,0.37,18.61
134.8984,0.3328,319,0.787,27.6199,1.2308,2.3647,61.04,2.21,0.64,0.52,22.1
125.09,2.1565,23,0.3965,125.09,2.3895,0.1839,125.09,1.0,2.27,0.95,60.16
97.1152,0.4968,62,0.3172,22.4471,0.9583,0.6384,46.69,2.08,0.69,0.72,67.19
61.775,1.3832,22,0.4926,9.884,0.5987,0.3561,24.71,2.5,0.91,1.52,51.51
383.8101,2.12,158,0.8727,67.1925,2.12,0.4117,160.59,2.39,2.12,1.0,10.98
337.755,1.3351,189,0.7471,47.3783,2.1392,0.5596,126.5,2.67,1.69,0.79,26.34
173.8135,1.239,60,0.4277,24.7509,2.5286,0.3452,65.59,2.65,1.77,0.7,55.52
239.8704,0.8446,261,0.919,76.565,1.2561,1.0881,135.52,1.77,1.03,0.82,6.6
434.6,0.8924,269,0.5524,61.8868,1.0543,0.619,164.0,2.65,0.97,0.92,45.79
95.8152,3.616,14,0.5284,10.9358,1.4125,0.1461,32.37,2.96,2.26,1.6,46.78
272.0403,1.6632,83,0.5074,39.9349,1.4259,0.3051,104.23,2.61,1.54,1.08,47.69
160.476,2.3805,42,0.623,111.4417,1.8,0.2617,133.73,1.2,2.07,1.15,36.67
335.16,0.4578,460,0.6283,92.8421,0.3853,1.3725,176.4,1.9,0.42,1.09,35.48
153.252,2.3278,30,0.4557,131.3889,2.1942,0.1958,141.9,1.08,2.26,1.03,56.07
525.542,1.161,186,0.4109,65.1585,0.6977,0.3539,185.05,2.84,0.9,1.29,57.88
174.9716,1.682,49,0.471,33.9559,1.25,0.28,77.08,2.27,1.45,1.16,51.49
16.2936,0.7854,7,0.3374,1.911,0.5546,0.4296,5.58,2.92,0.66,1.19,67.01
286.0839,0.328,496,0.5687,85.4262,8.2,1.7338,156.33,1.83,1.64,0.2,44.65
38.5424,0.539,33,0.4615,8.1101,2.2449,0.8562,17.68,2.18,1.1,0.49,52.97
124.656,1.25,78,0.7822,27.7358,5.0,0.6257,58.8,2.12,2.5,0.5,20.65
53.72,1.4668,24,0.6553,53.72,2.5395,0.4468,53.72,1.0,1.93,0.76,32.49
116.1117,2.1756,37,0.6933,49.6013,0.9932,0.3187,75.89,1.53,1.47,1.48,31.35
172.6805,0.4389,230,0.5846,82.131,4.0303,1.3319,119.09,1.45,1.33,0.33,39.71
122.1696,1.4432,78,0.9214,19.2381,0.4659,0.6385,48.48,2.52,0.82,1.76,7.78
441.5946,1.0065,234,0.5333,72.9715,3.3273,0.5299,179.51,2.46,1.83,0.55,45.24
300.7059,0.4921,232,0.3797,35.0273,0.2782,0.7715,102.63,2.93,0.37,1.33,60.05
209.351,2.73,32,0.4173,99.5724,1.3929,0.1529,144.38,1.45,1.95,1.4,57.88
299.07,0.616,333,0.6859,92.3056,0.2597,1.1135,166.15,1.8,0.4,1.54,29.98
161.272,1.4652,64,0.5815,44.6737,2.6757,0.3968,84.88,1.9,1.98,0.74,41.4
150.2214,1.561,37,0.3845,18.8901,3.1857,0.2463,53.27,2.82,2.23,0.7,63.12
470.6847,0.234,1248,0.6204,75.9157,0.65,2.6515,189.03,2.49,0.39,0.6,36.4
302.8445,0.9315,136,0.4183,43.7833,1.4198,0.4491,115.15,2.63,1.15,0.81,57.49
119.7525,3.495,16,0.467,39.1029,1.5533,0.1336,68.43,1.75,2.33,1.5,53.89
139.3707,0.2726,421,0.8234,78.7895,1.234,3.0207,104.79,1.33,0.58,0.47,16.19
131.6952,1.8252,24,0.3326,20.7381,1.5648,0.1822,52.26,2.52,1.69,1.08,67.42
212.3089,0.6213,167,0.4887,113.1168,1.9123,0.7866,154.97,1.37,1.09,0.57,49.55
363.9384,0.6708,360,0.6635,53.4253,0.4031,0.9892,139.44,2.61,0.52,1.29,33.86
132.468,0.198,412,0.6158,91.9917,0.9778,3.1102,110.39,1.2,0.44,0.45,37.69
28.078,0.1102,76,0.2983,14.5324,1.3103,2.7067,20.2,1.39,0.38,0.29,69.98
171.708,3.2357,20,0.3769,28.374,1.8855,0.1165,69.8,2.46,2.47,1.31,64.25
78.1,0.83,44,0.4676,12.496,3.32,0.5634,31.24,2.5,1.66,0.5,54.43
393.492,1.2095,132,0.4057,81.3,3.4746,0.3355,178.86,2.2,2.05,0.59,58.15
343.7312,0.392,532,0.6067,63.8621,2.45,1.5477,148.16,2.32,0.98,0.4,38.33
202.0898,3.0552,33,0.4989,53.6959,1.3224,0.1633,104.17,1.94,2.01,1.52,51.6
90.9249,0.364,179,0.7166,29.0226,0.8615,1.9687,51.37,1.77,0.56,0.65,26.38
174.515,0.6636,72,0.2738,48.3421,0.2658,0.4126,91.85,1.9,0.42,1.58,72.6
108.9787,0.4446,97,0.3957,67.5669,2.9231,0.8901,85.81,1.27,1.14,0.39,58.56
48.401,3.2754,10,0.6767,5.7552,1.2956,0.2066,16.69,2.9,2.06,1.59,34.28
123.26,0.4704,103,0.3931,123.26,6.0,0.8356,123.26,1.0,1.68,0.28,60.21
381.1102,0.6318,466,0.7725,49.3129,4.1538,1.2227,137.09,2.78,1.62,0.39,21.1
475.47,1.0481,256,0.5643,52.83,4.7447,0.5384,158.49,3.0,2.23,0.47,42.44
300.015,0.9504,240,0.7603,59.2622,4.9091,0.8,133.34,2.25,2.16,0.44,24.4
373.9065,2.256,51,0.3077,80.8884,2.5532,0.1364,173.91,2.15,2.4,0.94,70.35
6.8608,2.706,2,0.7888,4.1875,1.7886,0.2915,5.36,1.28,2.2,1.23,21.04
339.15,2.4344,83,0.5958,76.9048,0.7598,0.2447,161.5,2.1,1.36,1.79,41.11
58.0875,1.464,37,0.9325,37.176,1.0167,0.637,46.47,1.25,1.22,1.2,4.8
99.728,0.5301,86,0.4571,38.9562,1.6316,0.8623,62.33,1.6,0.93,0.57,54.92
367.0868,0.9592,262,0.6846,97.5361,4.9545,0.7137,189.22,1.94,2.18,0.44,33.38
73.4081,1.3048,13,0.2311,69.1942,4.1607,0.1771,71.27,1.03,2.33,0.56,77.63
312.3041,0.38,298,0.3626,85.6073,0.38,0.9542,163.51,1.91,0.38,1.0,64.02
20.2008,2.5615,4,0.5072,15.5439,2.156,0.198,17.72,1.14,2.35,1.0899999999999999,49.12
200.22,1.4443,80,0.5771,25.1773,0.7063,0.3996,71.0,2.82,1.01,1.43,40.81
350.6175,0.1739,869,0.431,69.2578,1.2703,2.4785,155.83,2.25,0.47,0.37,56.08
421.5588,0.7052,413,0.6909,70.8074,0.2384,0.9797,172.77,2.44,0.41,1.72,31.82
37.8102,1.2848,9,0.3058,33.6509,1.6591,0.238,35.67,1.06,1.46,0.88,70.19
279.16,1.292,106,0.4906,91.1543,0.6985,0.3797,159.52,1.75,0.95,1.36,49.9
212.595,0.3933,306,0.5661,94.4867,1.2105,1.4394,141.73,1.5,0.69,0.57,44.71
63.252,1.1703,41,0.7586,9.9603,0.5887,0.6482,25.1,2.52,0.83,1.41,22.32
130.9608,1.1918,99,0.9009,19.6744,3.4237,0.756,50.76,2.58,2.02,0.59,8.89
232.362,1.8304,85,0.6696,31.8741,2.3636,0.3658,86.06,2.7,2.08,0.88,31.62
187.7787,2.0882,56,0.6228,152.4054,1.8585,0.2982,169.17,1.11,1.97,1.06,37.25
295.238,0.616,153,0.3192,63.8698,1.2571,0.5182,137.32,2.15,0.88,0.7,68.05
37.7796,1.199,14,0.4443,29.0702,1.0092,0.3706,33.14,1.14,1.1,1.0899999999999999,54.01
129.415,0.63,111,0.5404,106.9545,0.5714,0.8577,117.65,1.1,0.6,1.05,45.46
367.263,0.9159,350,0.8728,76.5753,0.5504,0.953,167.7,2.19,0.71,1.29,12.77
167.745,1.3464,44,0.3532,74.5533,0.7727,0.2623,111.83,1.5,1.02,1.32,65.71
76.5799,0.9263,33,0.3992,66.8879,2.661,0.4309,71.57,1.07,1.57,0.59,58.13
381.7328,4.1886,33,0.3621,70.9224,1.3073,0.0864,164.54,2.32,2.34,1.79,63.0
354.6043,0.5104,573,0.8247,62.0795,2.6364,1.6159,148.37,2.39,1.16,0.44,19.34
188.139,0.8112,87,0.3751,42.6619,0.75,0.4624,89.59,2.1,0.78,1.04,64.25
118.844,0.7426,114,0.7123,34.7243,1.1899,0.9592,64.24,1.85,0.94,0.79,28.85
352.374,0.5616,459,0.7315,44.6263,0.2308,1.3026,125.4,2.81,0.36,1.56,25.96
451.0114,1.9401,130,0.5592,58.7798,2.5632,0.2882,162.82,2.77,2.23,0.87,43.49
165.288,2.1449,50,0.6488,20.493,2.7079,0.3025,58.2,2.84,2.41,0.89,34.55
91.9456,0.3503,113,0.4305,66.0339,0.2743,1.229,77.92,1.18,0.31,1.13,55.67
269.9352,1.995,45,0.3326,57.8565,2.2105,0.1667,124.97,2.16,2.1,0.95,68.23
198.7498,0.703,126,0.4457,93.2397,5.1351,0.634,136.13,1.46,1.9,0.37,55.21
177.8433,3.1416,53,0.9362,89.4539,1.6985,0.298,126.13,1.41,2.31,1.3599999999999999,7.17
22.95,0.49,24,0.5124,3.672,0.5102,1.0458,9.18,2.5,0.5,0.98,47.61
24.49,0.4185,29,0.4956,15.9274,5.7407,1.1842,19.75,1.24,1.55,0.27,50.42
228.3315,1.0703,196,0.9187,108.6,0.554,0.8584,157.47,1.45,0.77,1.39,8.06
136.4892,2.2446,17,0.2796,29.8037,1.3488,0.1246,63.78,2.14,1.74,1.29,71.34
39.0741,2.418,7,0.4332,23.4806,1.5726,0.1791,30.29,1.29,1.95,1.24,58.1
68.5883,0.6615,48,0.4629,10.7154,0.6,0.6998,27.11,2.53,0.63,1.05,55.58
14.8368,2.139,3,0.4325,4.7898,2.4731,0.2022,8.43,1.76,2.3,0.93,56.44
360.6168,0.082,1392,0.3165,41.1588,2.05,3.8601,121.83,2.96,0.41,0.2,69.29
129.142,1.4615,46,0.5206,76.4154,2.3418,0.3562,99.34,1.3,1.85,0.79,49.44
159.2424,0.748,116,0.5449,68.0261,4.675,0.7284,104.08,1.53,1.87,0.4,46.83
456.6276,0.2088,836,0.3823,55.8252,1.6111,1.8308,159.66,2.86,0.58,0.36,63.55
183.9709,0.8162,150,0.6655,41.3223,1.3766,0.8153,87.19,2.11,1.06,0.77,32.2
357.94,1.8252,74,0.3773,89.485,3.0,0.2067,178.97,2.0,2.34,0.78,61.81
355.6993,0.6972,355,0.6958,97.5026,1.012,0.998,186.23,1.91,0.84,0.83,30.99
59.2505,2.7334,14,0.6459,22.3006,1.0949,0.2363,36.35,1.63,1.73,1.5799999999999998,35.58
74.529,0.1617,372,0.8071,54.4444,1.4848,4.9913,63.7,1.17,0.49,0.33,18.64
241.4762,0.6732,312,0.8698,128.6569,0.3864,1.2921,176.26,1.37,0.51,1.32,14.36
352.1864,0.3456,801,0.786,94.5492,6.0,2.2744,182.48,1.93,1.44,0.24,20.44
386.0532,0.6391,172,0.2847,80.4932,1.0779,0.4455,176.28,2.19,0.83,0.77,71.27
